,Unnamed: 0,Date,HPA,HPD,Cie,Ligne,Esc 1,Immat,Type app,PKG,Remarque,Comment,Terminal,DATETIME,Graph_intervale,Brigade
0,106,2022-04-10,,08:00:00,DAH,6038,7TVUN,ATR72,BLJ,PA1,DECOLLE 08:00,36 PX,T2,2022-04-10 08:00:00,"[6239, 6241]",Journee
1,107,2022-04-10,,08:15:00,DAH,6170,7RVUK,ATR72,AAE,PA1,DECOLLE 08:10,,T2,2022-04-10 08:15:00,"[6254, 6256]",Journee
2,108,2022-04-10,,08:15:00,DAH,6216,7TVUO,ATR72,OGX,PA1,DECOLLE 08:20,65 PX,T2,2022-04-10 08:15:00,"[6254, 6256]",Journee
3,109,2022-04-10,08:25:00,,DTH,1903,7TVCD,B738,HME,P11A,ARRIVE 08:14,42 PX,T2,2022-04-10 08:25:00,"[6264, 6266]",Journee
4,110,2022-04-10,08:30:00,,VLG,7476,,A321,BCN,P16,ARRIVE 08:17,151 PX,T4,2022-04-10 08:30:00,"[6268, 6272]",Journee
5,111,2022-04-10,08:40:00,,DAH,6223,7TVJT,B736,HME,P18,ARRIVE 08:41,76 PX,T2,2022-04-10 08:40:00,"[6279, 6281]",Journee
6,112,2022-04-10,,08:40:00,DAH,6180,7TVVQ,ATR72,ORN,PA1,DECOLLE 08:3,56 PX,T2,2022-04-10 08:40:00,"[6279, 6281]",Journee
7,113,2022-04-10,,09:00:00,DAH,6232,7TVKA,B738,TMR,P12,DECOLLE 09:19,133 PX,T2,2022-04-10 09:00:00,"[6299, 6301]",Journee
8,114,2022-04-10,,09:10:00,DAH,1010,7TVJV,A330,ORY,P20,DECOLLE 09:23,253 PX,T4,2022-04-10 09:10:00,"[6308, 6312]",Journee
9,115,2022-04-10,09:15:00,,DAH,6107,7TVKI,B738,ORN,P10C,ARRIVE 09:02,140 PX,T2,2022-04-10 09:15:00,"[6314, 6316]",Journee
10,116,2022-04-10,,09:30:00,VLG,7477,,A321,BCN,P16,DECOLLE 09:30,85 PX,T4,2022-04-10 09:30:00,"[6328, 6332]",Journee
