Date,Terminal,Compagnie ,N parking,N vol,Immat,Heure,Type
23-02-2020,T1,AH,W09,6040,JK,23-02-2020 08:15,Accostage
23-02-2020,T1,DTH,W12,1903,CB,23-02-2020 08:45,Accostage
23-02-2020,T1,DTH,W08,1803,CA,23-02-2020 09:55,Accostage
23-02-2020,T1,DTH,W10A,2111,CF,23-02-2020 10:05,Accostage
23-02-2020,T1,DTH,W10A,2220,CF,23-02-2020 13:50,Accostage
23-02-2020,T1,DTH,W12,2110,CC,23-02-2020 14:25,Accostage
23-02-2020,T1,DTH,W10C,1321,CB,23-02-2020 14:45,Accostage
23-02-2020,T1,AH,W11A,6006,JU,23-02-2020 17:10,Accostage
23-02-2020,T1,AH,W09,6026,KB,23-02-2020 17:20,Accostage
23-02-2020,T1,AH,W08,6041,JK,23-02-2020 17:55,Accostage
24-02-2020,T1,AH,W12,6106,JP,24-02-2020 19:50,Accostage
24-02-2020,T1,AH,W10A,6009,JU,24-02-2020 21:00,Accostage
24-02-2020,T1,AH,W11A,6232,KA,24-02-2020 22:15,Accostage
24-02-2020,T1,AH,W09,6212,JM,24-02-2020 06:00,Accostage
24-02-2020,T1,AH,W10A,6304,JU,24-02-2020 06:05,Accostage
24-02-2020,T1,AH,W11A,6250,JG,24-02-2020 07:10,Accostage
23-02-2020,T4,DTH,W29C,3012,CT,23-02-2020 08:05,Accostage
23-02-2020,T4,TO,W19,4680,HK,23-02-2020 08:16,Accostage
23-02-2020,T4,VLG,W15,7475,KJD,23-02-2020 08:40,Accostage
23-02-2020,T4,AF,W14,1554,XL,23-02-2020 09:25,Accostage
23-02-2020,T4,AZ,W13,500,NB,23-02-2020 11:10,Accostage
23-02-2020,T4,AF,W14,9454,MD,23-02-2020 12:10,Accostage
23-02-2020,T4,BA,W15,2546,TU,23-02-2020 12:36,Accostage
23-02-2020,T4,AF,W14,1854,HN,23-02-2020 13:55,Accostage
23-02-2020,T4,AF,W15,1654,PC,23-02-2020 17:40,Accostage
24-02-2020,T4,VLG,W14,7991,MQU,24-02-2020 19:36,Accostage
24-02-2020,T4,JAF,W19,3401,AS,24-02-2020 20:40,Accostage
