DATE,HPA,HPD,Cie,Ligne,Esc 1,Immat,Type app,PKG,Remarque,Comment,Terminal
9/4/2022,,7:15,DAH,4000,TUN,7TVKD,B738,P18,DECOLLE 07:45,MEP/RECH BAG-PX 102 ,T4
9/4/2022,,7:30,DTH,1400,RNS,7TVCL,DH8D,PA1,DECOLLE 07:35,,T2
9/4/2022,,7:30,DTH,1408,RNS,7TVCR,DH8D,PA1,DECOLLE 07:44,06PX,T2
9/4/2022,,8:00,DAH,6258,CZL,7TVUK,ATR72,PA1,DECOLLE 08:00,45PX,T2
9/4/2022,,8:00,DTH,2320,AZR,7TVCE,B738,PA1,DECOLLE 08:07,C//,T2
9/4/2022,,8:15,DAH,6170,AAE,7TVUM,ATR72,PA1,DECOLLE 08:10,48PX,T2
9/4/2022,,8:45,DAH,6180,ORN,7TVUT,ATR72,PA1,DECOLLE 08:35,27PX,T2
9/4/2022,,8:45,DTH,1154,HME,7TVCD,B738,P10C,DECOLLE 08:52,62PX,T2
9/4/2022,,8:50,DAH,6342,OGX,7TVKC,B738,P12,DECOLLE 08:57,102PX,T2
9/4/2022,,9:00,DTH,1516,HRM,7TVCT,B738,PA1,DECOLLE 09:05,C//44PX,T2
9/4/2022,9:10,,DAH,6027,CZL,7TVJN,B738,PA1,ARRIVE 09:10,130PX,T2
9/4/2022,9:10,,DAH,6223,HME,7TVUW,ATR72,PA1,ARRIVE 09:05,PX56,T2
9/4/2022,,9:10,DAH,1010,ORY,7TVJZ,A330,P20,DECOLLE 09:25,MEP/233PX,T4
9/4/2022,,9:10,DTH,1326,AAE,7TVCF,B738,PA1,DECOLLE 09:08,39PX,T2
9/4/2022,9:15,,DAH,6007,AAE,7TVKL,B738,PA1,ARRIVE 09:20,147PX,T2
9/4/2022,9:15,,DAH,6107,ORN,TVJS,B736,PA1,ARRIVE 09:05,52PX,T2
9/4/2022,,9:15,DAH,6520,ELG,7TVUQ,ATR72,PA1,DECOLLE 09:20,41PX,T2
9/4/2022,9:20,,FPO,161,CDG,,B738,P15,ARRIVE 09:16,131PX,T4
9/4/2022,9:45,,DAH,6201,GHA,7TVUQ,ATR72,PA1,ARRIVE 09:35,27PX,T2
9/4/2022,9:45,,DTH,1993,BJA,7TVCB,B738,PA1,ARRIVE 09:15,,T2
9/4/2022,,10:00,DAH,6238,TMR,7TVKA,B738,P9,DECOLLE 10:12,134PX,T2
9/4/2022,,10:00,DTH,1200,TFT,7TVCM,DH8D,PA1,DECOLLE 10:00,25PX,T2
9/4/2022,,10:00,DTH,1840,CZL,7TVCC,B738,PA1,DECOLLE 10:10,95PX,T2
9/4/2022,,10:10,DAH,2700,YUL,7TVJV,A330,P25B,DECOLLE 10:14,MEP/215/PX,T4
9/4/2022,,10:15,DAH,6032,TEE,7TVUW,ATR72,PA1,DECOLLE 10:13,55PX,T2
9/4/2022,,10:20,FPO,162,CDG,,B738,P15,DECOLLE 10:14,,T4
9/4/2022,,10:20,DAH,6142,AZR,7TVJT,B736,P11A,DECOLLE 10:26,A TRACTE/100PX,T2
